,ID,tin評分,nancy評分
0,2,0,0
1,3,0,0
2,4,5,5
3,7,0,0
4,9,0,0
5,11,0,0
6,12,0,0
7,14,0,0
8,15,0,0
9,16,0,0
10,17,0,0
11,18,0,0
12,19,0,0
13,20,0,0
14,23,0,0
15,25,0,0
16,26,0,0
17,27,0,0
18,30,0,0
19,32,0,0
20,33,0,0
21,34,0,0
22,37,0,0
23,39,5,4
24,42,0,0
25,43,0,0
26,46,0,0
27,47,0,0
28,49,0,0
29,50,0,0
30,51,0,0
31,52,0,0
32,53,0,0
33,54,0,0
34,55,0,0
35,59,0,0
36,61,5,5
37,63,0,0
38,64,0,0
39,66,0,0
40,67,0,0
41,69,0,0
42,70,0,0
43,72,0,0
44,74,0,0
45,80,0,0
46,81,4,4
47,83,0,0
48,84,0,0
49,85,5,4
50,86,0,0
51,87,0,0
52,88,0,0
53,91,0,0
54,96,0,0
55,97,0,0
56,98,5,4
57,99,0,0
58,100,5,5
59,101,0,0
60,105,0,0
61,106,0,0
62,108,4,4
63,109,0,0
64,110,0,0
65,111,0,0
66,112,0,0
67,115,0,0
68,116,0,0
69,121,0,0
70,122,0,0
71,123,0,0
72,124,0,0
73,126,0,0
74,128,0,0
75,129,0,0
76,130,0,0
77,131,5,4
78,132,0,0
79,133,0,0
80,134,0,0
81,135,0,0
82,137,0,0
83,138,0,0
84,141,0,0
85,146,0,0
86,148,5,5
87,149,0,0
88,150,0,0
89,151,0,0
90,152,0,0
91,153,0,0
92,156,4,4
93,158,0,0
94,159,0,0
95,164,0,0
96,165,0,0
97,168,0,0
98,170,0,0
99,174,0,0
100,177,0,0
101,178,0,0
102,179,0,0
103,180,0,0
104,181,0,0
105,182,0,0
106,185,5,4
107,187,0,0
108,190,0,0
109,191,0,0
110,192,0,0
111,194,5,4
112,195,0,0
113,199,0,0
114,200,0,0
115,203,0,0
116,204,0,0
117,205,4,5
118,206,5,5
119,207,0,0
120,208,0,0
121,210,0,0
122,214,4,4
123,215,0,0
124,217,0,0
125,220,0,0
126,221,0,0
127,222,0,0
128,225,0,0
129,226,0,0
130,228,0,0
131,229,5,5
132,230,0,0
133,232,0,0
134,233,0,0
135,235,5,4
136,237,0,0
137,238,0,0
138,239,0,0
139,241,0,0
140,242,0,0
141,246,0,0
142,248,0,0
143,250,0,0
144,251,0,0
145,253,0,0
146,255,5,4
147,256,0,0
148,257,0,0
149,260,0,0
150,261,0,0
151,262,5,4
152,263,0,0
153,264,0,0
154,265,0,0
155,271,0,0
156,272,0,0
157,278,0,0
158,280,0,0
159,282,0,0
160,284,4,4
161,286,0,0
162,293,0,0
163,296,0,0
164,297,0,0
165,299,0,0
166,301,0,0
167,303,0,0
168,304,0,0
169,306,0,0
170,307,0,0
171,312,0,0
172,314,0,0
173,317,0,0
174,318,0,0
175,319,0,0
176,320,0,0
177,321,4,4
178,323,0,0
179,326,0,0
180,327,0,0
181,331,0,0
182,337,0,0
183,338,0,0
184,339,0,0
185,342,0,0
186,343,0,0
187,348,0,0
188,350,0,0
189,352,5,4
190,353,0,0
191,355,0,0
192,358,0,0
193,359,0,0
194,360,0,0
195,362,0,0
196,363,0,0
197,364,0,0
198,365,0,0
199,366,0,0
200,370,0,0
201,371,0,0
202,373,0,0
203,374,0,0
204,377,0,0
205,381,0,0
206,382,0,0
207,385,0,0
208,387,5,5
209,388,4,0
210,389,0,0
211,391,0,0
212,392,0,0
213,393,0,0
214,394,4,5
215,395,0,0
216,396,0,0
217,397,0,0
218,400,0,0
219,401,0,0
220,409,0,0
221,410,0,0
222,411,0,0
223,413,0,0
224,414,0,0
225,416,0,0
226,418,0,0
227,423,0,0
228,427,0,0
229,431,0,0
230,433,0,0
231,434,0,0
232,435,0,0
233,437,5,4
234,439,0,0
235,440,0,0
236,441,0,0
237,444,0,0
238,445,0,0
239,450,0,0
240,455,0,0
241,457,5,4
242,458,0,0
243,459,5,5
244,460,0,0
245,461,0,0
246,462,0,0
247,463,5,4
248,470,0,0
249,471,5,5
250,472,5,4
251,473,0,0
252,475,4,4
253,476,0,0
254,477,5,4
255,479,0,0
256,480,0,0
257,482,0,0
258,485,0,0
259,486,0,0
260,488,0,0
261,489,0,0
262,491,0,0
263,493,0,0
264,494,0,0
265,495,0,0
266,496,0,0
267,497,0,0
268,498,5,4
269,499,0,0
270,500,0,0
